Date,Close
1/5/2018,52.48
1/12/2018,51.86
1/19/2018,51.91
1/26/2018,54.72
2/2/2018,52.98
2/9/2018,49.88
2/16/2018,50.15
2/23/2018,48.29
3/2/2018,48.26
3/9/2018,49.01
3/16/2018,48.56
3/23/2018,46.29
3/29/2018,47.82
4/6/2018,47.48
4/13/2018,47.66
4/20/2018,47.9
4/27/2018,51.57
5/4/2018,48.19
5/11/2018,48.62
5/18/2018,47.74
5/25/2018,48.52
6/1/2018,47.81
6/8/2018,49.18
6/15/2018,48.06
6/22/2018,49.76
6/29/2018,50.31
7/6/2018,51.48
7/13/2018,51.41
7/20/2018,50.62
7/27/2018,52.01
8/3/2018,52.27
8/10/2018,52.47
8/17/2018,54.79
8/24/2018,54.78
8/31/2018,54.37
9/7/2018,54
9/14/2018,54.55
9/21/2018,54.42
9/28/2018,53.39
10/5/2018,54.94
10/12/2018,53.73
10/19/2018,54.9
10/26/2018,55.51
11/2/2018,56.63
11/9/2018,58.46
11/16/2018,60.21
11/23/2018,58.64
11/30/2018,60.3
12/7/2018,57.68
12/14/2018,57.08
12/21/2018,54.92
12/28/2018,55.27
1/4/2019,56.36
1/11/2019,58.02
1/18/2019,57.09
1/25/2019,56.4
2/1/2019,54.55
2/8/2019,53.95
2/15/2019,55.16
2/22/2019,56.92
3/1/2019,56.96
3/8/2019,56.53
3/15/2019,58.39
3/22/2019,59.76
3/29/2019,59.13
4/5/2019,59.09
4/12/2019,58.74
4/18/2019,58.04
4/26/2019,56.58
5/3/2019,57.24
5/10/2019,56.91
5/17/2019,58.09
5/24/2019,59.32
5/31/2019,54.35
6/7/2019,57.24
6/14/2019,58.28
6/21/2019,57.77
6/28/2019,57.13
7/5/2019,58.31
7/12/2019,57.19
7/19/2019,56.59
7/26/2019,57.08
8/2/2019,55.59
8/9/2019,55.78
8/16/2019,56.65
8/23/2019,55.92
8/30/2019,58.16
9/6/2019,59.06
9/13/2019,59.96
9/20/2019,60.29
9/27/2019,60.3
10/4/2019,59.9
10/11/2019,59.93
10/18/2019,61.05
10/25/2019,60.37
11/1/2019,60.37
11/8/2019,59.35
11/15/2019,59.51
11/22/2019,59.75
11/29/2019,60.24
12/6/2019,61.19
12/13/2019,60.81
12/20/2019,62.07
12/27/2019,61.53
1/3/2020,60.4
1/10/2020,58.99
1/17/2020,60.13
1/24/2020,60.28
1/31/2020,59.44
2/7/2020,59.94
2/14/2020,58.51
2/21/2020,58.2
2/28/2020,54.16
3/6/2020,56.87
3/13/2020,54.17
3/20/2020,51.8
3/27/2020,52.77
4/3/2020,54.7
4/9/2020,57.44
4/17/2020,58.46
4/24/2020,57.93
5/1/2020,56.83
5/8/2020,57
5/15/2020,54.71
5/22/2020,54.1
5/29/2020,57.38
6/5/2020,57.74
6/12/2020,56.53
6/19/2020,56.16
6/26/2020,53.16
7/2/2020,54.79
7/10/2020,54.49
7/17/2020,56.3
7/24/2020,56.85
7/31/2020,57.48
8/7/2020,58.53
8/14/2020,58.79
8/21/2020,58.99
8/28/2020,59.26
9/4/2020,60.48
9/11/2020,59.79
9/18/2020,60.35
9/25/2020,59.39
