Date,Close
1/5/2018,41.04
1/12/2018,42.44
1/19/2018,42.5
1/26/2018,42.8
2/2/2018,41.11
2/9/2018,38.57
2/16/2018,39.79
2/23/2018,39.5
3/2/2018,36.49
3/9/2018,37.13
3/16/2018,35.83
3/23/2018,33.17
3/29/2018,34.17
4/6/2018,34.12
4/13/2018,33.02
4/20/2018,33.21
4/27/2018,31.81
5/4/2018,31.96
5/11/2018,31.9
5/18/2018,32.72
5/25/2018,31.75
6/1/2018,31.26
6/8/2018,32.08
6/15/2018,33.88
6/22/2018,33.81
6/29/2018,32.81
7/6/2018,33.58
7/13/2018,34.7
7/20/2018,34.3
7/27/2018,35.08
8/3/2018,35.41
8/10/2018,35.08
8/17/2018,35.6
8/24/2018,36.5
8/31/2018,36.99
9/7/2018,36.17
9/14/2018,36.96
9/21/2018,37.9
9/28/2018,35.41
10/5/2018,34.56
10/12/2018,34.62
10/19/2018,35.98
10/26/2018,35.24
11/2/2018,37.66
11/9/2018,38.34
11/16/2018,38.59
11/23/2018,37.39
11/30/2018,39.01
12/7/2018,37.41
12/14/2018,36.34
12/21/2018,33.75
12/28/2018,34.35
1/4/2019,35.81
1/11/2019,35.63
1/18/2019,36.21
1/25/2019,35.78
2/1/2019,36.79
2/8/2019,37.6
2/15/2019,37.77
2/22/2019,38.61
3/1/2019,39.1
3/8/2019,38.19
3/15/2019,40.47
3/22/2019,39.46
3/29/2019,39.98
4/5/2019,40.42
4/12/2019,41.3
4/18/2019,42.43
4/26/2019,43.08
5/3/2019,43.29
5/10/2019,43.15
5/17/2019,43.54
5/24/2019,42.67
5/31/2019,41
6/7/2019,41.48
6/14/2019,42.31
6/21/2019,43.56
6/28/2019,42.28
7/5/2019,43.28
7/12/2019,44.64
7/19/2019,44.06
7/26/2019,44.63
8/2/2019,42.65
8/9/2019,42.93
8/16/2019,43.18
8/23/2019,42.43
8/30/2019,44.26
9/6/2019,46.35
9/13/2019,46.88
9/20/2019,46.36
9/27/2019,44.81
10/4/2019,44.71
10/11/2019,45.55
10/18/2019,45.57
10/25/2019,45.65
11/1/2019,44.75
11/8/2019,45.19
11/15/2019,44.56
11/22/2019,44.8
11/29/2019,44.15
12/6/2019,44.24
12/13/2019,43.58
12/20/2019,44.09
12/27/2019,45.1
1/3/2020,45.01
1/10/2020,44.98
1/17/2020,47.5
1/24/2020,44.59
1/31/2020,43.19
2/7/2020,44.74
2/14/2020,46.09
2/21/2020,45.82
2/28/2020,40.43
3/6/2020,40.37
3/13/2020,39.33
3/20/2020,33.37
3/27/2020,34.57
4/3/2020,33.95
4/9/2020,38
4/17/2020,38.08
4/24/2020,37.16
5/1/2020,36.98
5/8/2020,36.53
5/15/2020,35.92
5/22/2020,38.74
5/29/2020,39.6
6/5/2020,42.09
6/12/2020,39.46
6/19/2020,39.1
6/26/2020,38.65
7/2/2020,39.25
7/10/2020,40.51
7/17/2020,42.18
7/24/2020,43.35
7/31/2020,42.8
8/7/2020,42.81
8/14/2020,43.77
8/21/2020,43.07
8/28/2020,44.56
9/4/2020,44.43
9/11/2020,44.67
9/18/2020,45.26
9/25/2020,46.15
