Geography,2020_Year_Wage,2019_Year_Wage,2018_Year_Wage
"Abbeville County, South Carolina",38116.0,36660.0,39108.0
"Acadia Parish, Louisiana",35672.0,33360.0,41316.0
"Accomack County, Virginia",39728.0,36720.0,48912.0
"Ada County, Idaho",53040.0,47952.0,41184.0
"Adair County, Iowa",38220.0,35436.0,40716.0
"Adair County, Kentucky",32344.0,30504.0,39180.0
"Adair County, Missouri",33124.0,31740.0,41232.0
"Adair County, Oklahoma",32188.0,30348.0,39444.0
"Adams County, Colorado",53976.0,52260.0,50520.0
"Adams County, Idaho",37856.0,35628.0,43524.0
"Adams County, Illinois",44980.0,40452.0,50124.0
"Adams County, Indiana",39468.0,36504.0,41076.0
"Adams County, Iowa",39156.0,35928.0,34488.0
"Adams County, Mississippi",35984.0,32700.0,35280.0
"Adams County, Nebraska",38896.0,37524.0,40740.0
"Adams County, North Dakota",42900.0,38664.0,45972.0
"Adams County, Ohio",41860.0,36828.0,43164.0
"Adams County, Pennsylvania",40560.0,40008.0,47364.0
"Adams County, Washington",39988.0,37332.0,54312.0
"Adams County, Wisconsin",39156.0,35400.0,42048.0
"Addison County, Vermont",52208.0,45816.0,43920.0
"Adjuntas Municipio, Puerto Rico",14664.0,16332.0,23724.0
"Aguada Municipio, Puerto Rico",14768.0,17748.0,16560.0
"Aguadilla Municipio, Puerto Rico",28652.0,27816.0,20340.0
"Aguas Buenas Municipio, Puerto Rico",18720.0,18684.0,25500.0
"Aibonito Municipio, Puerto Rico",25792.0,24552.0,19584.0
"Aiken County, South Carolina",53976.0,47040.0,38316.0
"Aitkin County, Minnesota",36452.0,33936.0,47772.0
Alabama,50232.0,45084.0,43764.0
"Alachua County, Florida",44564.0,45324.0,45600.0
"Alamance County, North Carolina",44044.0,38988.0,44088.0
"Alameda County, California",83616.0,73464.0,70368.0
"Alamosa County, Colorado",40300.0,36096.0,35100.0
Alaska,59020.0,53112.0,51408.0
"Albany County, New York",60684.0,55776.0,61452.0
"Albany County, Wyoming",36712.0,38664.0,42504.0
"Albemarle County, Virginia",51948.0,50952.0,39828.0
"Alcona County, Michigan",38792.0,32880.0,45156.0
"Alcorn County, Mississippi",36660.0,33732.0,32724.0
"Aleutians East Borough, Alaska",60528.0,51252.0,52248.0
"Aleutians West Census Area, Alaska",63076.0,58644.0,57168.0
"Alexander County, Illinois",39416.0,34128.0,37980.0
"Alexander County, North Carolina",33852.0,31968.0,36324.0
"Alexandria City, Virginia",72384.0,73224.0,45216.0
"Alfalfa County, Oklahoma",44720.0,40464.0,31692.0
"Alger County, Michigan",42172.0,38316.0,34500.0
"Allamakee County, Iowa",35932.0,33780.0,33600.0
"Allegan County, Michigan",55380.0,45264.0,39924.0
"Allegany County, Maryland",36764.0,37236.0,50736.0
"Allegany County, New York",36660.0,37104.0,49296.0
"Alleghany County, North Carolina",32084.0,29868.0,30648.0
"Alleghany County, Virginia",36712.0,32472.0,45516.0
"Allegheny County, Pennsylvania",68536.0,57852.0,43968.0
"Allen County, Indiana",51012.0,43800.0,37680.0
"Allen County, Kansas",37648.0,33432.0,39828.0
"Allen County, Kentucky",37752.0,34512.0,30828.0
"Allen County, Ohio",47424.0,42648.0,37356.0
"Allen Parish, Louisiana",40560.0,36732.0,34308.0
"Allendale County, South Carolina",50024.0,40356.0,44376.0
"Alpena County, Michigan",36192.0,37248.0,42444.0
"Alpine County, California",37388.0,38448.0,34488.0
"Amador County, California",41496.0,42648.0,41280.0
"Amelia County, Virginia",36348.0,34548.0,31608.0
"Amherst County, Virginia",39364.0,35376.0,33528.0
"Amite County, Mississippi",40196.0,35064.0,32880.0
"Anchorage Municipality, Alaska",60112.0,55716.0,53940.0
"Anderson County, Kansas",36556.0,31404.0,31596.0
"Anderson County, Kentucky",37960.0,35988.0,33276.0
"Anderson County, South Carolina",40872.0,38100.0,38184.0
"Anderson County, Tennessee",62400.0,55224.0,48372.0
"Anderson County, Texas",47216.0,42276.0,49320.0
"Andrew County, Missouri",33592.0,30852.0,30900.0
"Andrews County, Texas",73216.0,64488.0,45852.0
"Androscoggin County, Maine",45396.0,41100.0,40824.0
"Angelina County, Texas",41652.0,37812.0,57144.0
"Anne Arundel County, Maryland",63752.0,56556.0,41112.0
"Anoka County, Minnesota",53768.0,50676.0,36924.0
"Anson County, North Carolina",34320.0,33300.0,30084.0
"Antelope County, Nebraska",41444.0,34524.0,35436.0
"Antrim County, Michigan",33592.0,31728.0,34368.0
"Apache County, Arizona",42380.0,42252.0,39900.0
"Appanoose County, Iowa",36816.0,34200.0,32640.0
"Appling County, Georgia",77116.0,45036.0,50088.0
"Appomattox County, Virginia",29640.0,28140.0,32832.0
"Aransas County, Texas",38428.0,36288.0,37236.0
"Arapahoe County, Colorado",80704.0,63864.0,61296.0
"Archer County, Texas",37388.0,35076.0,35088.0
"Archuleta County, Colorado",32864.0,33816.0,32280.0
"Arecibo Municipio, Puerto Rico",23244.0,23748.0,24996.0
"Arenac County, Michigan",36400.0,33504.0,30552.0
