countycode,statename,countyname,consumer,non_consumer,all,hhs,ratio
01001,AL,Autauga County,16,1,17,21.115,0.76
01003,AL,Baldwin County,72,9,80,78.622,0.91
01005,AL,Barbour County,5,1,6,9.186,0.54
01007,AL,Bibb County,4,0,4,6.840,0.53
01009,AL,Blount County,13,1,14,20.600,0.61
01011,AL,Bullock County,1,-9999,-9999,3.609,0.40
01013,AL,Butler County,5,1,5,6.708,0.72
01015,AL,Calhoun County,31,3,34,45.033,0.69
01017,AL,Chambers County,9,1,10,13.516,0.68
01019,AL,Cherokee County,5,1,6,10.606,0.49
01021,AL,Chilton County,10,1,11,16.751,0.59
01023,AL,Choctaw County,3,0,3,5.350,0.49
01025,AL,Clarke County,6,1,7,9.358,0.62
01027,AL,Clay County,3,0,3,5.236,0.60
01029,AL,Cleburne County,3,0,3,5.726,0.48
01031,AL,Coffee County,15,1,16,19.789,0.75
01033,AL,Colbert County,15,2,17,21.799,0.70
01035,AL,Conecuh County,2,0,3,4.574,0.50
01037,AL,Coosa County,3,0,3,4.103,0.62
01039,AL,Covington County,10,1,11,15.008,0.67
01041,AL,Crenshaw County,3,0,3,5.025,0.61
01043,AL,Cullman County,19,2,21,30.730,0.63
01045,AL,Dale County,13,1,14,18.670,0.70
01047,AL,Dallas County,9,1,10,16.336,0.53
01049,AL,DeKalb County,16,2,18,26.132,0.62
01051,AL,Elmore County,25,2,27,29.143,0.86
01053,AL,Escambia County,8,1,9,13.428,0.57
01055,AL,Etowah County,28,3,31,38.777,0.72
01057,AL,Fayette County,3,-9999,-9999,6.947,0.43
01059,AL,Franklin County,6,1,6,11.210,0.52
01061,AL,Geneva County,6,1,6,10.479,0.55
01063,AL,Greene County,1,0,1,2.955,0.46
01065,AL,Hale County,3,0,3,5.658,0.47
01067,AL,Henry County,4,0,4,6.669,0.62
01069,AL,Houston County,29,3,32,39.253,0.74
01071,AL,Jackson County,16,1,17,20.626,0.77
01073,AL,Jefferson County,208,21,230,260.924,0.80
01075,AL,Lamar County,3,0,3,5.974,0.53
01077,AL,Lauderdale County,25,2,27,38.514,0.64
01079,AL,Lawrence County,6,0,6,12.811,0.46
01081,AL,Lee County,52,4,56,59.373,0.88
01083,AL,Limestone County,28,2,29,32.126,0.86
01085,AL,Lowndes County,2,0,2,4.180,0.48
01087,AL,Macon County,4,0,4,7.637,0.53
01089,AL,Madison County,126,9,136,145.256,0.87
