Date,Close
1/5/2018,17
1/12/2018,17.36
1/19/2018,17.31
1/26/2018,18.22
2/2/2018,17.73
2/9/2018,15.98
2/16/2018,18.93
2/23/2018,18.21
3/2/2018,17.35
3/9/2018,17.94
3/16/2018,17.13
3/23/2018,15.52
3/29/2018,16.43
4/6/2018,17.21
4/13/2018,17.05
4/20/2018,17.61
4/27/2018,18.9
5/4/2018,18.49
5/11/2018,19.6
5/18/2018,19.29
5/25/2018,18.18
6/1/2018,17.74
6/8/2018,17.65
6/15/2018,18.02
6/22/2018,18.62
6/29/2018,18.64
7/6/2018,19.66
7/13/2018,19.88
7/20/2018,18.76
7/27/2018,18.37
8/3/2018,18.83
8/10/2018,21.38
8/17/2018,23.48
8/24/2018,22.75
8/31/2018,21.36
9/7/2018,21.94
9/14/2018,22.74
9/21/2018,22.94
9/28/2018,21.2
10/5/2018,21.86
10/12/2018,20.66
10/19/2018,21.99
10/26/2018,19.37
11/2/2018,20.97
11/9/2018,18.91
11/16/2018,19.17
11/23/2018,17.88
11/30/2018,18.8
12/7/2018,17.47
12/14/2018,17
12/21/2018,14.9
12/28/2018,15.27
1/4/2019,15.95
1/11/2019,16.27
1/18/2019,15.83
1/25/2019,14.99
2/1/2019,15.25
2/8/2019,14.21
2/15/2019,13.74
2/22/2019,13.44
3/1/2019,12.97
3/8/2019,12.3
3/15/2019,12.09
3/22/2019,12.17
3/29/2019,11.99
4/5/2019,12.55
4/12/2019,12.12
4/18/2019,12.14
4/26/2019,11.62
5/3/2019,11.68
5/10/2019,10.89
5/17/2019,10.59
5/24/2019,10.11
5/31/2019,10.45
6/7/2019,10.54
6/14/2019,11.1
6/21/2019,11.34
6/28/2019,11.76
7/5/2019,11.77
7/12/2019,12.2
7/19/2019,11.37
7/26/2019,11.75
8/2/2019,12.02
8/9/2019,10.78
8/16/2019,11.21
8/23/2019,11.21
8/30/2019,11.38
9/6/2019,11.8
9/13/2019,12.9
9/20/2019,12.52
9/27/2019,12.39
10/4/2019,11.54
10/11/2019,11.73
10/18/2019,12.44
10/25/2019,12.89
11/1/2019,13.32
11/8/2019,14.79
11/15/2019,14.97
11/22/2019,14.97
11/29/2019,14.49
12/6/2019,14.16
12/13/2019,13.6
12/20/2019,13.22
12/27/2019,13.42
1/3/2020,12.59
1/10/2020,12.99
1/17/2020,14.06
1/24/2020,14.71
1/31/2020,13.66
2/7/2020,14.53
2/14/2020,13.9
2/21/2020,13.22
2/28/2020,12.07
3/6/2020,11.97
3/13/2020,10.12
3/20/2020,9.1
3/27/2020,9.06
4/3/2020,9.11
4/9/2020,10.65
4/17/2020,10.25
4/24/2020,10.21
5/1/2020,10.17
5/8/2020,9.94
5/15/2020,9.27
5/22/2020,9.82
5/29/2020,9.83
6/5/2020,10.81
6/12/2020,10.08
6/19/2020,10.15
6/26/2020,9.51
7/2/2020,9.79
7/10/2020,9.91
7/17/2020,9.8
7/24/2020,10.09
7/31/2020,9.65
8/7/2020,10.49
8/14/2020,11.07
8/21/2020,11.01
8/28/2020,10.99
9/4/2020,10.76
9/11/2020,10.65
9/18/2020,10.77
9/25/2020,10.21
