Date,Close
1/5/2018,94.35
1/12/2018,95
1/19/2018,92.4
1/26/2018,96
2/2/2018,90.15
2/9/2018,83.5
2/16/2018,82.55
2/23/2018,78.5
3/2/2018,80.4
3/9/2018,80
3/16/2018,81.6
3/23/2018,80.9
3/29/2018,78
4/6/2018,77
4/13/2018,81
4/20/2018,83
4/27/2018,92.9
5/4/2018,94.9
5/11/2018,97
5/18/2018,104.5
5/25/2018,99.5
6/1/2018,99
6/8/2018,92.3
6/15/2018,85.4
6/22/2018,85.45
6/29/2018,87.5
7/6/2018,81.3
7/13/2018,85.05
7/20/2018,85
7/27/2018,84.3
8/3/2018,85.2
8/10/2018,86.45
8/17/2018,87.2
8/24/2018,87.2
8/31/2018,87.2
9/7/2018,88.85
9/14/2018,90
9/21/2018,88
9/28/2018,89
10/5/2018,92
10/12/2018,86.85
10/19/2018,85.5
10/25/2018,84
11/2/2018,83.45
11/9/2018,81
11/16/2018,78.5
11/23/2018,65.25
11/30/2018,77
12/7/2018,71.25
12/14/2018,73.45
12/21/2018,73.4
12/28/2018,76
1/4/2019,74.5
1/11/2019,74.8
1/18/2019,72.45
1/25/2019,71.5
2/1/2019,71.95
2/8/2019,68.45
2/15/2019,68.9
2/22/2019,68.7
3/1/2019,69.9
3/8/2019,68.75
3/15/2019,71.05
3/22/2019,74.6
3/29/2019,76.25
4/5/2019,80
4/12/2019,77.6
4/18/2019,80.7
4/26/2019,86.3
5/3/2019,79.5
5/10/2019,75
5/17/2019,77.5
5/24/2019,78.1
5/31/2019,82
6/7/2019,81.5
6/14/2019,83
6/21/2019,82
6/28/2019,81
7/5/2019,81
7/12/2019,78.5
7/19/2019,77.5
7/26/2019,79.2
8/2/2019,79.5
8/9/2019,78.9
8/16/2019,77.8
8/23/2019,77.6
8/30/2019,78.3
9/6/2019,77.5
9/13/2019,79
9/20/2019,82
9/27/2019,85.4
10/4/2019,84.5
10/11/2019,86
10/18/2019,87.6
10/25/2019,84.4
11/1/2019,83
11/8/2019,84.5
11/15/2019,83
11/22/2019,85
11/29/2019,96.5
12/6/2019,97.5
12/13/2019,101
12/20/2019,99.75
12/27/2019,99.75
1/3/2020,101.5
1/10/2020,106.5
1/17/2020,108
1/24/2020,108
1/31/2020,109
2/7/2020,109.5
2/14/2020,113
2/21/2020,115
2/28/2020,100
3/6/2020,100
3/13/2020,97
3/20/2020,90.4
3/27/2020,96.9
4/3/2020,100
4/9/2020,107.5
4/17/2020,109
4/24/2020,109.5
5/1/2020,107
5/7/2020,124
5/15/2020,112
5/22/2020,116
5/29/2020,117
6/5/2020,128
6/12/2020,118
6/19/2020,110
6/26/2020,128
7/2/2020,126
7/10/2020,129
7/17/2020,127
7/24/2020,144
7/31/2020,149
8/7/2020,148
8/14/2020,142
8/21/2020,143
8/28/2020,140
9/4/2020,155
9/11/2020,151.5
9/18/2020,141
9/25/2020,137
