Plan,City,State,Zip_code,County,ISP,Network_ tech,Municipal_network,Download_speed_Mbps,Upload_speed_Mbps,Cost_per_download Mbps,Data_cap_GB,Data_overage_penalty_per_50GB,Price,Term _months,Autopay_/_paperless_discount,Activation_fee,Installation_fee,Self_install_ fee,Router_rental_monthly,Modem_rental_monthly,Ttl_rental_costs,router_purchase_cost,Modem_purchase_cost,Ttl_purch_costs,requirement_months,Termination_fee,Address_used
"Ammon, Century Link, 100",Ammon, ID,83406,Bonneville,CenturyLink,ADSL,No,100,12,1.54,1000,Throttling,65,,,,0,,5,15,20,,150,150,1,,3039 S 25 E
"Ammon, Century Link, 60",Ammon, ID,83406,Bonneville,CenturyLink,ADSL,No,60,30,1.09,1000,Throttling,55,,,,99,,5,15,20,,150,150,1,,3039 S 25 E
"Ammon, Century Link, 80",Ammon, ID,83406,Bonneville,CenturyLink,ADSL,No,80,40,1.45,1000,Throttling,55,,,,99,,5,15,20,,150,150,1,,3039 S 25 E
"Ammon, CenturyLink, 12",Ammon, ID,83406,Bonneville,CenturyLink,ADSL,No,12,0.896,0.27,1000,Throttling,45,,,,99,50,5,15,20,,150,150,1,,1815 Sabin Dr
"Ammon, CenturyLink, 20",Ammon, ID,83406,Bonneville,CenturyLink,ADSL,No,20,0.896,0.4,1000,Throttling,50,,,,99,50,5,15,20,,150,150,1,,1815 Sabin Dr
"Ammon, CenturyLink, 40",Ammon, ID,83406,Bonneville,CenturyLink,ADSL,No,40,5,0.89,1000,Throttling,45,,,,99,50,5,15,20,,150,150,1,,1815 Sabin Dr
"Ammon, DirectCom, 100",Ammon, ID,,Bonneville,DirectCom,Fiber,Yes,100,100,2.5,,,39.95,,,,,,,,0,,,0,,,Not applicable
"Ammon, DirectCom, 1000",Ammon, ID,,Bonneville,DirectCom,Fiber,Yes,1000,1000,9.1,,,109.95,,,,,,,,0,,,0,,,Not applicable
"Ammon, DirectCom, 250",Ammon, ID,,Bonneville,DirectCom,Fiber,Yes,250,250,5.01,,,49.95,,,,,,,,0,,,0,,,Not applicable
"Ammon, DirectCom, 50",Ammon, ID,,Bonneville,DirectCom,Fiber,Yes,50,50,1.67,,,29.95,,,,,,,,0,,,0,,,Not applicable
"Ammon, Fybercom, 1000, F",Ammon, ID,,Bonneville,Fybercom,Fiber,Yes,1000,1000,100.1,,,9.99,,,,,,,,0,,,0,,,Not applicable
"Ammon, Fybercom, 500, F",Ammon, ID,,Bonneville,Fybercom,Fiber,Yes,500,500,50.1,,,9.98,,,,,,,,0,,,0,,,Not applicable
"Ammon, QWK, 100",Ammon, ID,,Bonneville,QWK,Fiber,Yes,100,100,11.26,,,8.88,,,,95,,,,0,,,0,,,Not applicable
"Ammon, QWK, 1000",Ammon, ID,,Bonneville,QWK,Fiber,Yes,1000,1000,67.2,,,14.88,,,,95,,,,0,,,0,,,Not applicable
"Ammon, QWK, 15",Ammon, ID,,Bonneville,QWK,Fiber,Yes,15,15,7.98,,,1.88,,,,95,,,,0,,,0,,,Not applicable
"Ammon, QWK, 250",Ammon, ID,,Bonneville,QWK,Fiber,Yes,250,250,25.3,,,9.88,,,,95,,,,0,,,0,,,Not applicable
"Ammon, Sparklight, 100",Ammon, ID,83406,Bonneville,Sparklight,Cable,No,100,10,1.82,300,20,55,12,,,,0,10.5,,10.5,,,0,,,1815 Sabin Dr
"Ammon, Sparklight, 1000",Ammon, ID,83406,Bonneville,Sparklight,Cable,No,1000,50,8,1200,20,125,,,,,,10.5,,10.5,,,0,,,Not applicable
"Ammon, Sparklight, 15",Ammon, ID,83406,Bonneville,Sparklight,Cable,No,15,1,0.5,100,20,30,,,,,0,10.5,,10.5,,,0,,,1815 Sabin Dr
"Ammon, Sparklight, 200",Ammon, ID,83406,Bonneville,Sparklight,Cable,No,200,20,3.08,600,20,65,,,,,0,10.5,,10.5,,,0,,,1815 Sabin Dr
"Ammon, Sparklight, 300",Ammon, ID,83406,Bonneville,Sparklight,Cable,No,300,30,3.75,900,20,80,,,,,0,10.5,,10.5,,,0,,,1815 Sabin Dr
"Ammon, Sumo, 1000",Ammon, ID,,Bonneville,Sumo,Fiber,Yes,1000,1000,40,,,25,,,,,,,,0,,,0,,,Not applicable
"Atlanta, AT&T, 0.768",Atlanta, GA,30314,Fulton,AT&T Internet,ADSL,No,0.768,0.4,0.01,1000,10,60,12/ongoing,,35,99,0,,,0,,,0,12,180,145 James P Brawley Dr NW
"Atlanta, AT&T, 100",Atlanta, GA,30312,Fulton,AT&T Internet,Fiber,No,100,100,1.43,1000,10,70,12/ongoing,,35,99,0,,,0,,,0,12,180,512 Grant St SE
"Atlanta, AT&T, 1000",Atlanta, GA,30312,Fulton,AT&T Internet,Fiber,No,1000,1000,10,,,100,12,,0,0,,,,0,,,0,12,180,512 Grant St SE
"Atlanta, AT&T, 300",Atlanta, GA,30312,Fulton,AT&T Internet,Fiber,No,300,300,3.33,1000,10,90,12/ongoing,,35,99,0,,,0,,,0,12,180,512 Grant St SE
"Atlanta, AT&T, 5",Atlanta, GA,30312,Fulton,AT&T Internet,ADSL,No,5,1,0.08,1000,10,60,12/ongoing,,35,99,0,,,0,,,0,12,180,506 Grant St SE
"Atlanta, AT&T, 50",Atlanta, GA,30314,Fulton,AT&T Internet,ADSL,No,50,10,0.71,1000,10,70,12/ongoing,,35,99,0,,,0,,,0,12,180,1011 Palmetto Ave SW
"Atlanta, Google, 100",Atlanta, GA,30308,Fulton,Google Fiber,Fiber,No,100,100,2,,,50,,,,,,0,0,0,,0,0,1,,Not applicable
"Atlanta, Google, 1000",Atlanta, GA,30308,Fulton,Google Fiber,Fiber,No,1000,1000,14.29,,,70,,,,,,0,0,0,,0,0,1,,Not applicable
"Atlanta, Xfinity, 1000A",Atlanta, GA,30314,Fulton,Comcast,Cable,No,1000,35,9.09,1000,10,110,12,10,,70,,,13,13,,,0,12,,145 James P Brawley Dr NW
"Atlanta, Xfinity, 1000B",Atlanta, GA,30314,Fulton,Comcast,Cable,No,1000,35,9.09,1000,10,110,12,10,,70,,,13,13,,,0,1,,145 James P Brawley Dr NW
"Atlanta, Xfinity, 150A",Atlanta, GA,30314,Fulton,Comcast,Cable,No,150,5,1.88,1000,10,80,12,10,,70,15,,13,13,,,0,12,,145 James P Brawley Dr NW
"Atlanta, Xfinity, 150B",Atlanta, GA,30314,Fulton,Comcast,Cable,No,150,5,1.88,1000,10,80,12,10,,70,15,,13,13,,,0,1,,145 James P Brawley Dr NW
"Atlanta, Xfinity, 250A",Atlanta, GA,30314,Fulton,Comcast,Cable,No,250,5,2.78,1000,10,90,12,10,,70,15,,13,13,,,0,12,,145 James P Brawley Dr NW
"Atlanta, Xfinity, 250B",Atlanta, GA,30314,Fulton,Comcast,Cable,No,250,5,2.78,1000,10,90,12,10,,70,15,,13,13,,,0,1,,145 James P Brawley Dr NW
"Atlanta, Xfinity, 25A",Atlanta, GA,30314,Fulton,Comcast,Cable,No,25,2,0.5,1000,10,50,12,10,,70,15,,13,13,,,0,12,,145 James P Brawley Dr NW
"Atlanta, Xfinity, 25B",Atlanta, GA,30314,Fulton,Comcast,Cable,No,25,2,0.5,1000,10,50,12,10,,70,15,,13,13,,,0,1,,145 James P Brawley Dr NW
"Atlanta, Xfinity, 400A",Atlanta, GA,30314,Fulton,Comcast,Cable,No,400,10,4,1000,10,100,12,10,,70,15,,13,13,,,0,12,,145 James P Brawley Dr NW
"Atlanta, Xfinity, 400B",Atlanta, GA,30314,Fulton,Comcast,Cable,No,400,10,4,1000,10,100,12,10,,70,15,,13,13,,,0,1,,145 James P Brawley Dr NW
"Atlanta, Xfinity, 60A",Atlanta, GA,30314,Fulton,Comcast,Cable,No,60,2,0.86,1000,10,70,12,10,,70,15,,13,13,,,0,12,,145 James P Brawley Dr NW
"Atlanta, Xfinity, 60B",Atlanta, GA,30314,Fulton,Comcast,Cable,No,60,2,0.86,1000,10,70,12,10,,70,15,,13,13,,,0,1,,145 James P Brawley Dr NW
"Atlanta, Yomura, 1000",Atlanta, GA,,Fulton,Yomura,Fiber,No,1000,1000,10.1,,,99,,,,0,,10,,10,,99,99,1,,Not applicable
"Atlanta, Yomura, 10000",Atlanta, GA,,Fulton,Yomura,Fiber,No,10000,10000,10.01,,,999,,,,0,,10,,10,,99,99,1,,Not applicable
"Chattanooga, AT&T Internet, 10",Chattanooga, TN,34703,Hamilton,AT&T Internet,ADSL,No,10,1,0.14,1000,10,70,12/ongoing,,35,99,0,,,0,,,0,12,180,829 McCallie Ave
"Chattanooga, AT&T Internet, 100",Chattanooga, TN,34708,Hamilton,AT&T Internet,Fiber,No,100,100,1.43,1000,10,70,12/ongoing,,35,99,0,,,0,,,0,12,180,1614 Jefferson St
"Chattanooga, AT&T Internet, 1000",Chattanooga, TN,34708,Hamilton,AT&T Internet,Fiber,No,1000,1000,10,,,100,12,,,,,,,0,,,0,12,180,1614 Jefferson St
"Chattanooga, AT&T Internet, 18",Chattanooga, TN,34708,Hamilton,AT&T Internet,ADSL,No,18,1.5,0.26,1000,10,70,12/ongoing,,35,99,0,,,0,,,0,12,180,1717 Williams St
"Chattanooga, AT&T Internet, 300",Chattanooga, TN,34708,Hamilton,AT&T Internet,Fiber,No,300,300,3.33,1000,10,90,12/ongoing,,35,0,0,,,0,,,0,12,180,1614 Jefferson St
"Chattanooga, AT&T Internet, 5",Chattanooga, TN,34703,Hamilton,AT&T Internet,ADSL,No,5,1,0.08,1000,10,60,12/ongoing,,35,99,0,,,0,,,0,12,180,829 McCallie Ave
"Chattanooga, EPB, 1000",Chattanooga, TN,,Hamilton,EPB,Fiber,Yes,1000,1000,14.71,,,67.99,,,,0,,9.99,,9.99,,,0,1,,Not applicable
"Chattanooga, EPB, 10000",Chattanooga, TN,,Hamilton,EPB,Fiber,Yes,10000,10000,33.33,,,299.99,,,,0,,9.99,,9.99,,,0,1,,Not applicable
"Chattanooga, EPB, 300",Chattanooga, TN,,Hamilton,EPB,Fiber,Yes,300,300,5.17,,,57.99,,,,0,,9.99,,9.99,,,0,1,,Not applicable
"Chattanooga, Xfinity, 1000",Chattanooga, TN,34708,Hamilton,Comcast,Cable,No,1000,35,9.09,1000,10,110,12,10,,70,,,13,13,,,0,12,,1614 Jefferson St
"Chattanooga, Xfinity, 150",Chattanooga, TN,34708,Hamilton,Comcast,Cable,No,150,5,1.88,1000,10,80,12,10,,70,15,,13,13,,,0,12,,1614 Jefferson St
"Chattanooga, Xfinity, 25",Chattanooga, TN,34708,Hamilton,Comcast,Cable,No,25,2,0.5,1000,10,50,12,10,,70,15,,13,13,,,0,12,,1614 Jefferson St
"Chattanooga, Xfinity, 250",Chattanooga, TN,34708,Hamilton,Comcast,Cable,No,250,5,2.78,1000,10,90,12,10,,70,15,,13,13,,,0,12,,1614 Jefferson St
"Chattanooga, Xfinity, 60",Chattanooga, TN,34708,Hamilton,Comcast,Cable,No,60,2,0.86,1000,10,70,12,10,,70,15,,13,13,,,0,12,,1614 Jefferson St
"Chattanooga, Xfinity, 400",Chattanooga, TN,34708,Hamilton,Comcast,Cable,No,400,10,4,1000,10,100,12,10,,70,15,,13,13,,,0,12,,1614 Jefferson St
"Cleveland, AT&T, 100",Cleveland, OH,44111,Cuyahoga,AT&T Internet,Fiber,No,100,100,1.67,1000,10,60,12,,,99,0,,,0,,,0,12,180,3045 W 104th St
"Cleveland, AT&T, 1000",Cleveland, OH,44111,Cuyahoga,AT&T Internet,Fiber,No,1000,1000,10,,,100,12,,,0,0,,,0,,,0,12,180,3045 W 104th St
"Cleveland, AT&T, 18",Cleveland, OH,44102,Cuyahoga,AT&T Internet,ADSL,No,18,1.5,0.3,1000,10,60,12,,35,99,0,,,0,,,0,12,180,7001 W Clinton Ave
"Cleveland, AT&T, 300",Cleveland, OH,44111,Cuyahoga,AT&T Internet,Fiber,No,300,300,3.75,1000,10,80,12,,,0,0,,,0,,,0,12,180,3045 W 104th St
"Cleveland, AT&T, 5",Cleveland, OH,44113,Cuyahoga,AT&T Internet,ADSL,No,5,1,0.1,1000,10,50,12,,35,99,0,,,0,,,0,12,180,2308 W 11th St
"Cleveland, AT&T, 50",Cleveland, OH,44113,Cuyahoga,AT&T Internet,ADSL,No,50,10,0.83,1000,10,60,12,,35,99,0,,,0,,,0,12,180,2308 W 11th St
"Cleveland, Cleveland Broadband, 100",Cleveland, OH,,Cuyahoga,Cleveland Broadband,Fiber,No,100,100,2,,,50,,,0,0,,0,,0,,,0,1,,Not applicable
"Cleveland, Cleveland Broadband, 1000",Cleveland, OH,,Cuyahoga,Cleveland Broadband,Fiber,No,1000,1000,14.29,,,70,,,0,0,,0,,0,,,0,1,,Not applicable
"Cleveland, Snip Internet 1 Gig",Cleveland, OH,44114,Cuyahoga,Snip Internet,Fiber,No,1000,,13.33,,,75,,,0,0,No,0,0,0,0,0,0,,,1587 E 31st St.
"Cleveland, Snip Internet 100",Cleveland, OH,44114,Cuyahoga,Snip Internet,Fiber,No,100,,2,,,50,,,0,0,No,0,0,0,0,0,0,,,1587 E 31st St.
"Cleveland, Spectrum 940",Cleveland, OH,44113,Cuyahoga,Charter,Cable,No,940,,7.46,,,125.99,12,,,199,,,,0,,,0,1,remaining month,2308 W 11th St
"Cleveland, Spectrum, 100",Cleveland, OH,44113,Cuyahoga,Charter,Cable,No,100,,1.52,,,65.99,12,,,99,9.99,5,,5,,,0,1,remaining month,2308 W 11th St
"Cleveland, Spectrum, 30",Cleveland, OH,44111,Cuyahoga,Charter,Cable,No,30,,2,,,14.99,,,,49.99,,5,,5,,,0,12,remaining month,3045 W 104th St
"Cleveland, Spectrum, 400",Cleveland, OH,44113,Cuyahoga,Charter,Cable,No,400,,4.4,,,90.99,12,,,99,9.99,5,,5,,,0,1,remaining month,2308 W 11th St
"Cleveland, WindSpeed, 25",Cleveland, OH,,Cuyahoga,WindSpeed,Cable,No,25,5,0.63,,,39.95,,,,,,,,0,,,0,,,Not applicable
"Cleveland, WindSpeed, 50",Cleveland, OH,,Cuyahoga,WindSpeed,Cable,No,50,10,1,,,49.95,,,,,,,,0,,,0,,,Not applicable
"Cleveland, WindSpeed, 75",Cleveland, OH,,Cuyahoga,WindSpeed,Cable,No,75,15,1.36,,,54.95,,,,,,,,0,,,0,,,Not applicable
